,Pclass,Sex,Age,SibSp,Parch,Fare,ischild,Title,Surname
50,3,male,7.0,4,1,39.6875,True,Master,False
51,3,male,21.0,0,0,7.8,False,Mr,False
52,1,female,49.0,1,0,76.7292,False,Mrs,True
53,2,female,29.0,1,0,26.0,False,Mrs,True
54,1,male,65.0,0,1,61.9792,False,Mr,False
55,1,male,28.0,0,0,35.5,False,Mr,False
56,2,female,21.0,0,0,10.5,False,Miss,False
57,3,male,28.5,0,0,7.2292,False,Mr,False
58,2,female,5.0,1,2,27.75,True,Miss,False
59,3,male,11.0,5,2,46.9,False,Master,False
60,3,male,22.0,0,0,7.2292,False,Mr,False
61,1,female,38.0,0,0,80.0,False,Miss,False
62,1,male,45.0,1,0,83.475,False,Mr,False
63,3,male,4.0,3,2,27.9,True,Master,False
64,1,male,28.0,0,0,27.7208,False,Mr,False
65,3,male,28.0,1,1,15.2458,False,Master,False
66,2,female,29.0,0,0,10.5,False,Mrs,True
67,3,male,19.0,0,0,8.1583,False,Mr,False
68,3,female,17.0,4,2,7.925,False,Miss,False
69,3,male,26.0,2,0,8.6625,False,Mr,False
70,2,male,32.0,0,0,10.5,False,Mr,False
71,3,female,16.0,5,2,46.9,False,Miss,False
72,2,male,21.0,0,0,73.5,False,Mr,False
73,3,male,26.0,1,0,14.4542,False,Mr,False
74,3,male,32.0,0,0,56.4958,False,Mr,False
75,3,male,25.0,0,0,7.65,False,Mr,False
76,3,male,28.0,0,0,7.8958,False,Mr,False
77,3,male,28.0,0,0,8.05,False,Mr,False
78,2,male,0.83,0,2,29.0,True,Master,False
79,3,female,30.0,0,0,12.475,False,Miss,False
80,3,male,22.0,0,0,9.0,False,Mr,False
81,3,male,29.0,0,0,9.5,False,Mr,False
82,3,female,28.0,0,0,7.7875,False,Miss,False
83,1,male,28.0,0,0,47.1,False,Mr,False
84,2,female,17.0,0,0,10.5,False,Miss,False
85,3,female,33.0,3,0,15.85,False,Mrs,True
86,3,male,16.0,1,3,34.375,False,Mr,False
87,3,male,28.0,0,0,8.05,False,Mr,False
88,1,female,23.0,3,2,263.0,False,Miss,False
89,3,male,24.0,0,0,8.05,False,Mr,False
90,3,male,29.0,0,0,8.05,False,Mr,False
91,3,male,20.0,0,0,7.8542,False,Mr,False
92,1,male,46.0,1,0,61.175,False,Mr,False
93,3,male,26.0,1,2,20.575,False,Mr,False
94,3,male,59.0,0,0,7.25,False,Mr,False
95,3,male,28.0,0,0,8.05,False,Mr,False
96,1,male,71.0,0,0,34.6542,False,Mr,False
97,1,male,23.0,0,1,63.3583,False,Mr,False
98,2,female,34.0,0,1,23.0,False,Mrs,True
99,2,male,34.0,1,0,26.0,False,Mr,False
100,3,female,28.0,0,0,7.8958,False,Miss,False
101,3,male,28.0,0,0,7.8958,False,Mr,True
102,1,male,21.0,0,1,77.2875,False,Mr,False
103,3,male,33.0,0,0,8.6542,False,Mr,False
104,3,male,37.0,2,0,7.925,False,Mr,False
105,3,male,28.0,0,0,7.8958,False,Mr,False
106,3,female,21.0,0,0,7.65,False,Miss,False
107,3,male,28.0,0,0,7.775,False,Mr,False
108,3,male,38.0,0,0,7.8958,False,Mr,False
109,3,female,28.0,1,0,24.15,False,Miss,False
110,1,male,47.0,0,0,52.0,False,Mr,False
111,3,female,14.5,1,0,14.4542,False,Miss,False
112,3,male,22.0,0,0,8.05,False,Mr,False
113,3,female,20.0,1,0,9.825,False,Miss,False
114,3,female,17.0,0,0,14.4583,False,Miss,False
115,3,male,21.0,0,0,7.925,False,Mr,False
116,3,male,70.5,0,0,7.75,False,Mr,False
117,2,male,29.0,1,0,21.0,False,Mr,False
118,1,male,24.0,0,1,247.5208,False,Mr,False
119,3,female,2.0,4,2,31.275,True,Miss,False
120,2,male,21.0,2,0,73.5,False,Mr,False
121,3,male,28.0,0,0,8.05,False,Mr,False
122,2,male,32.5,1,0,30.0708,False,Mr,False
123,2,female,32.5,0,0,13.0,False,Miss,False
124,1,male,54.0,0,1,77.2875,False,Mr,False
125,3,male,12.0,1,0,11.2417,False,Master,False
126,3,male,28.0,0,0,7.75,False,Mr,False
127,3,male,24.0,0,0,7.1417,False,Mr,False
128,3,female,28.0,1,1,22.3583,False,Miss,False
129,3,male,45.0,0,0,6.975,False,Mr,False
130,3,male,33.0,0,0,7.8958,False,Mr,False
131,3,male,20.0,0,0,7.05,False,Mr,False
132,3,female,47.0,1,0,14.5,False,Mrs,True
133,2,female,29.0,1,0,26.0,False,Mrs,True
134,2,male,25.0,0,0,13.0,False,Mr,False
135,2,male,23.0,0,0,15.0458,False,Mr,False
136,1,female,19.0,0,2,26.2833,False,Miss,False
137,1,male,37.0,1,0,53.1,False,Mr,False
138,3,male,16.0,0,0,9.2167,False,Mr,False
139,1,male,24.0,0,0,79.2,False,Mr,False
140,3,female,28.0,0,2,15.2458,False,Mrs,True
141,3,female,22.0,0,0,7.75,False,Miss,False
142,3,female,24.0,1,0,15.85,False,Mrs,True
143,3,male,19.0,0,0,6.75,False,Mr,False
144,2,male,18.0,0,0,11.5,False,Mr,False
145,2,male,19.0,1,1,36.75,False,Mr,False
146,3,male,27.0,0,0,7.7958,False,Mr,True
147,3,female,9.0,2,2,34.375,True,Miss,False
148,2,male,36.5,0,2,26.0,False,Mr,True
149,2,male,42.0,0,0,13.0,False,Rev,False
150,2,male,51.0,0,0,12.525,False,Rev,False
151,1,female,22.0,1,0,66.6,False,Mrs,True
152,3,male,55.5,0,0,8.05,False,Mr,False
153,3,male,40.5,0,2,14.5,False,Mr,False
154,3,male,28.0,0,0,7.3125,False,Mr,False
155,1,male,51.0,0,1,61.3792,False,Mr,False
156,3,female,16.0,0,0,7.7333,False,Miss,False
157,3,male,30.0,0,0,8.05,False,Mr,False
158,3,male,28.0,0,0,8.6625,False,Mr,False
159,3,male,28.0,8,2,69.55,False,Master,False
160,3,male,44.0,0,1,16.1,False,Mr,False
161,2,female,40.0,0,0,15.75,False,Mrs,True
162,3,male,26.0,0,0,7.775,False,Mr,False
163,3,male,17.0,0,0,8.6625,False,Mr,False
164,3,male,1.0,4,1,39.6875,True,Master,False
165,3,male,9.0,0,2,20.525,True,Master,False
166,1,female,28.0,0,1,55.0,False,Mrs,True
167,3,female,45.0,1,4,27.9,False,Mrs,True
168,1,male,28.0,0,0,25.925,False,Mr,False
169,3,male,28.0,0,0,56.4958,False,Mr,False
170,1,male,61.0,0,0,33.5,False,Mr,False
171,3,male,4.0,4,1,29.125,True,Master,False
172,3,female,1.0,1,1,11.1333,True,Miss,False
173,3,male,21.0,0,0,7.925,False,Mr,False
174,1,male,56.0,0,0,30.6958,False,Mr,False
175,3,male,18.0,1,1,7.8542,False,Mr,False
176,3,male,28.0,3,1,25.4667,False,Master,False
177,1,female,50.0,0,0,28.7125,False,Miss,False
178,2,male,30.0,0,0,13.0,False,Mr,False
179,3,male,36.0,0,0,0.0,False,Mr,False
180,3,female,28.0,8,2,69.55,False,Miss,False
181,2,male,28.0,0,0,15.05,False,Mr,False
182,3,male,9.0,4,2,31.3875,True,Master,False
183,2,male,1.0,2,1,39.0,True,Master,False
184,3,female,4.0,0,2,22.025,True,Miss,False
185,1,male,28.0,0,0,50.0,False,Mr,False
186,3,female,28.0,1,0,15.5,False,Mrs,True
187,1,male,45.0,0,0,26.55,False,Mr,True
188,3,male,40.0,1,1,15.5,False,Mr,False
189,3,male,36.0,0,0,7.8958,False,Mr,False
190,2,female,32.0,0,0,13.0,False,Mrs,True
191,2,male,19.0,0,0,13.0,False,Mr,False
192,3,female,19.0,1,0,7.8542,False,Miss,False
193,2,male,3.0,1,1,26.0,True,Master,False
194,1,female,44.0,0,0,27.7208,False,Mrs,True
195,1,female,58.0,0,0,146.5208,False,Miss,False
196,3,male,28.0,0,0,7.75,False,Mr,False
197,3,male,42.0,0,1,8.4042,False,Mr,False
198,3,female,28.0,0,0,7.75,False,Miss,False
199,2,female,24.0,0,0,13.0,False,Miss,True
200,3,male,28.0,0,0,9.5,False,Mr,False
201,3,male,28.0,8,2,69.55,False,Mr,False
202,3,male,34.0,0,0,6.4958,False,Mr,False
203,3,male,45.5,0,0,7.225,False,Mr,False
204,3,male,18.0,0,0,8.05,False,Mr,False
205,3,female,2.0,0,1,10.4625,True,Miss,False
206,3,male,32.0,1,0,15.85,False,Mr,False
207,3,male,26.0,0,0,18.7875,False,Mr,False
208,3,female,16.0,0,0,7.75,False,Miss,False
209,1,male,40.0,0,0,31.0,False,Mr,False
210,3,male,24.0,0,0,7.05,False,Mr,False
211,2,female,35.0,0,0,21.0,False,Miss,False
212,3,male,22.0,0,0,7.25,False,Mr,False
213,2,male,30.0,0,0,13.0,False,Mr,False
214,3,male,28.0,1,0,7.75,False,Mr,False
215,1,female,31.0,1,0,113.275,False,Miss,False
216,3,female,27.0,0,0,7.925,False,Miss,False
217,2,male,42.0,1,0,27.0,False,Mr,False
218,1,female,32.0,0,0,76.2917,False,Miss,False
219,2,male,30.0,0,0,10.5,False,Mr,False
220,3,male,16.0,0,0,8.05,False,Mr,False
221,2,male,27.0,0,0,13.0,False,Mr,False
222,3,male,51.0,0,0,8.05,False,Mr,False
223,3,male,28.0,0,0,7.8958,False,Mr,False
224,1,male,38.0,1,0,90.0,False,Mr,False
225,3,male,22.0,0,0,9.35,False,Mr,False
226,2,male,19.0,0,0,10.5,False,Mr,False
227,3,male,20.5,0,0,7.25,False,Mr,True
228,2,male,18.0,0,0,13.0,False,Mr,False
229,3,female,28.0,3,1,25.4667,False,Miss,False
230,1,female,35.0,1,0,83.475,False,Mrs,True
231,3,male,29.0,0,0,7.775,False,Mr,False
232,2,male,59.0,0,0,13.5,False,Mr,False
233,3,female,5.0,4,2,31.3875,True,Miss,False
234,2,male,24.0,0,0,10.5,False,Mr,False
235,3,female,28.0,0,0,7.55,False,Miss,False
236,2,male,44.0,1,0,26.0,False,Mr,False
237,2,female,8.0,0,2,26.25,True,Miss,False
238,2,male,19.0,0,0,10.5,False,Mr,False
239,2,male,33.0,0,0,12.275,False,Mr,False
240,3,female,28.0,1,0,14.4542,False,Miss,False
241,3,female,28.0,1,0,15.5,False,Miss,False
242,2,male,29.0,0,0,10.5,False,Mr,False
243,3,male,22.0,0,0,7.125,False,Mr,False
244,3,male,30.0,0,0,7.225,False,Mr,False
245,1,male,44.0,2,0,90.0,False,Dr,False
246,3,female,25.0,0,0,7.775,False,Miss,False
247,2,female,24.0,0,2,14.5,False,Mrs,True
248,1,male,37.0,1,1,52.5542,False,Mr,False
249,2,male,54.0,1,0,26.0,False,Rev,False
250,3,male,28.0,0,0,7.25,False,Mr,False
251,3,female,29.0,1,1,10.4625,False,Mrs,True
252,1,male,62.0,0,0,26.55,False,Mr,False
253,3,male,30.0,1,0,16.1,False,Mr,False
254,3,female,41.0,0,2,20.2125,False,Mrs,True
255,3,female,29.0,0,2,15.2458,False,Mrs,True
256,1,female,28.0,0,0,79.2,False,Mrs,False
257,1,female,30.0,0,0,86.5,False,Miss,False
258,1,female,35.0,0,0,512.3292,False,Miss,False
259,2,female,50.0,0,1,26.0,False,Mrs,True
260,3,male,28.0,0,0,7.75,False,Mr,False
261,3,male,3.0,4,2,31.3875,True,Master,False
262,1,male,52.0,1,1,79.65,False,Mr,False
263,1,male,40.0,0,0,0.0,False,Mr,False
264,3,female,28.0,0,0,7.75,False,Miss,False
265,2,male,36.0,0,0,10.5,False,Mr,False
266,3,male,16.0,4,1,39.6875,False,Mr,False
267,3,male,25.0,1,0,7.775,False,Mr,False
268,1,female,58.0,0,1,153.4625,False,Mrs,True
269,1,female,35.0,0,0,135.6333,False,Miss,False
270,1,male,28.0,0,0,31.0,False,Mr,False
271,3,male,25.0,0,0,0.0,False,Mr,False
272,2,female,41.0,0,1,19.5,False,Mrs,True
273,1,male,37.0,0,1,29.7,False,Mr,False
274,3,female,28.0,0,0,7.75,False,Miss,False
275,1,female,63.0,1,0,77.9583,False,Miss,False
276,3,female,45.0,0,0,7.75,False,Miss,False
277,2,male,28.0,0,0,0.0,False,Mr,False
278,3,male,7.0,4,1,29.125,True,Master,False
279,3,female,35.0,1,1,20.25,False,Mrs,True
280,3,male,65.0,0,0,7.75,False,Mr,False
281,3,male,28.0,0,0,7.8542,False,Mr,False
282,3,male,16.0,0,0,9.5,False,Mr,False
283,3,male,19.0,0,0,8.05,False,Mr,False
284,1,male,28.0,0,0,26.0,False,Mr,False
285,3,male,33.0,0,0,8.6625,False,Mr,False
286,3,male,30.0,0,0,9.5,False,Mr,False
287,3,male,22.0,0,0,7.8958,False,Mr,False
288,2,male,42.0,0,0,13.0,False,Mr,False
289,3,female,22.0,0,0,7.75,False,Miss,False
290,1,female,26.0,0,0,78.85,False,Miss,False
291,1,female,19.0,1,0,91.0792,False,Mrs,True
292,2,male,36.0,0,0,12.875,False,Mr,False
293,3,female,24.0,0,0,8.85,False,Miss,False
294,3,male,24.0,0,0,7.8958,False,Mr,False
295,1,male,28.0,0,0,27.7208,False,Mr,False
296,3,male,23.5,0,0,7.2292,False,Mr,False
297,1,female,2.0,1,2,151.55,True,Miss,False
298,1,male,28.0,0,0,30.5,False,Mr,False
299,1,female,50.0,0,1,247.5208,False,Mrs,True
300,3,female,28.0,0,0,7.75,False,Miss,False
301,3,male,28.0,2,0,23.25,False,Mr,False
302,3,male,19.0,0,0,0.0,False,Mr,False
303,2,female,28.0,0,0,12.35,False,Miss,False
304,3,male,28.0,0,0,8.05,False,Mr,False
305,1,male,0.92,1,2,151.55,True,Master,False
306,1,female,28.0,0,0,110.8833,False,Miss,False
307,1,female,17.0,1,0,108.9,False,Mrs,True
308,2,male,30.0,1,0,24.0,False,Mr,False
309,1,female,30.0,0,0,56.9292,False,Miss,False
310,1,female,24.0,0,0,83.1583,False,Miss,False
311,1,female,18.0,2,2,262.375,False,Miss,False
312,2,female,26.0,1,1,26.0,False,Mrs,True
313,3,male,28.0,0,0,7.8958,False,Mr,False
314,2,male,43.0,1,1,26.25,False,Mr,False
315,3,female,26.0,0,0,7.8542,False,Miss,False
316,2,female,24.0,1,0,26.0,False,Mrs,True
317,2,male,54.0,0,0,14.0,False,Dr,False
318,1,female,31.0,0,2,164.8667,False,Miss,False
319,1,female,40.0,1,1,134.5,False,Mrs,True
320,3,male,22.0,0,0,7.25,False,Mr,False
321,3,male,27.0,0,0,7.8958,False,Mr,False
322,2,female,30.0,0,0,12.35,False,Miss,False
323,2,female,22.0,1,1,29.0,False,Mrs,True
324,3,male,28.0,8,2,69.55,False,Mr,False
325,1,female,36.0,0,0,135.6333,False,Miss,False
326,3,male,61.0,0,0,6.2375,False,Mr,False
327,2,female,36.0,0,0,13.0,False,Mrs,True
328,3,female,31.0,1,1,20.525,False,Mrs,True
329,1,female,16.0,0,1,57.9792,False,Miss,False
330,3,female,28.0,2,0,23.25,False,Miss,False
331,1,male,45.5,0,0,28.5,False,Mr,False
332,1,male,38.0,0,1,153.4625,False,Mr,False
333,3,male,16.0,2,0,18.0,False,Mr,False
334,1,female,28.0,1,0,133.65,False,Mrs,True
335,3,male,28.0,0,0,7.8958,False,Mr,False
336,1,male,29.0,1,0,66.6,False,Mr,False
337,1,female,41.0,0,0,134.5,False,Miss,False
338,3,male,45.0,0,0,8.05,False,Mr,False
339,1,male,45.0,0,0,35.5,False,Mr,False
340,2,male,2.0,1,1,26.0,True,Master,False
341,1,female,24.0,3,2,263.0,False,Miss,False
342,2,male,28.0,0,0,13.0,False,Mr,False
343,2,male,25.0,0,0,13.0,False,Mr,False
344,2,male,36.0,0,0,13.0,False,Mr,False
345,2,female,24.0,0,0,13.0,False,Miss,False
346,2,female,40.0,0,0,13.0,False,Miss,False
347,3,female,28.0,1,0,16.1,False,Mrs,True
348,3,male,3.0,1,1,15.9,True,Master,False
349,3,male,42.0,0,0,8.6625,False,Mr,False
350,3,male,23.0,0,0,9.225,False,Mr,False
351,1,male,28.0,0,0,35.0,False,Mr,False
352,3,male,15.0,1,1,7.2292,False,Mr,False
353,3,male,25.0,1,0,17.8,False,Mr,False
354,3,male,28.0,0,0,7.225,False,Mr,False
355,3,male,28.0,0,0,9.5,False,Mr,False
356,1,female,22.0,0,1,55.0,False,Miss,False
357,2,female,38.0,0,0,13.0,False,Miss,False
358,3,female,28.0,0,0,7.8792,False,Miss,False
359,3,female,28.0,0,0,7.8792,False,Miss,False
360,3,male,40.0,1,4,27.9,False,Mr,False
361,2,male,29.0,1,0,27.7208,False,Mr,False
362,3,female,45.0,0,1,14.4542,False,Mrs,True
363,3,male,35.0,0,0,7.05,False,Mr,False
364,3,male,28.0,1,0,15.5,False,Mr,False
365,3,male,30.0,0,0,7.25,False,Mr,False
366,1,female,60.0,1,0,75.25,False,Mrs,True
367,3,female,28.0,0,0,7.2292,False,Mrs,True
368,3,female,28.0,0,0,7.75,False,Miss,False
369,1,female,24.0,0,0,69.3,False,Mme,False
370,1,male,25.0,1,0,55.4417,False,Mr,False
371,3,male,18.0,1,0,6.4958,False,Mr,False
372,3,male,19.0,0,0,8.05,False,Mr,False
373,1,male,22.0,0,0,135.6333,False,Mr,False
374,3,female,3.0,3,1,21.075,True,Miss,False
375,1,female,28.0,1,0,82.1708,False,Mrs,True
376,3,female,22.0,0,0,7.25,False,Miss,False
377,1,male,27.0,0,2,211.5,False,Mr,False
378,3,male,20.0,0,0,4.0125,False,Mr,False
379,3,male,19.0,0,0,7.775,False,Mr,False
380,1,female,42.0,0,0,227.525,False,Miss,False
381,3,female,1.0,0,2,15.7417,True,Miss,True
382,3,male,32.0,0,0,7.925,False,Mr,False
383,1,female,35.0,1,0,52.0,False,Mrs,True
384,3,male,28.0,0,0,7.8958,False,Mr,False
385,2,male,18.0,0,0,73.5,False,Mr,False
386,3,male,1.0,5,2,46.9,True,Master,False
387,2,female,36.0,0,0,13.0,False,Miss,False
388,3,male,28.0,0,0,7.7292,False,Mr,False
389,2,female,17.0,0,0,12.0,False,Miss,False
390,1,male,36.0,1,2,120.0,False,Mr,False
391,3,male,21.0,0,0,7.7958,False,Mr,False
392,3,male,28.0,2,0,7.925,False,Mr,False
393,1,female,23.0,1,0,113.275,False,Miss,False
394,3,female,24.0,0,2,16.7,False,Mrs,True
395,3,male,22.0,0,0,7.7958,False,Mr,False
396,3,female,31.0,0,0,7.8542,False,Miss,False
397,2,male,46.0,0,0,26.0,False,Mr,False
398,2,male,23.0,0,0,10.5,False,Dr,False
399,2,female,28.0,0,0,12.65,False,Mrs,True
400,3,male,39.0,0,0,7.925,False,Mr,False
401,3,male,26.0,0,0,8.05,False,Mr,False
402,3,female,21.0,1,0,9.825,False,Miss,False
403,3,male,28.0,1,0,15.85,False,Mr,False
404,3,female,20.0,0,0,8.6625,False,Miss,False
405,2,male,34.0,1,0,21.0,False,Mr,False
406,3,male,51.0,0,0,7.75,False,Mr,False
407,2,male,3.0,1,1,18.75,True,Master,False
408,3,male,21.0,0,0,7.775,False,Mr,False
409,3,female,28.0,3,1,25.4667,False,Miss,False
410,3,male,28.0,0,0,7.8958,False,Mr,False
411,3,male,28.0,0,0,6.8583,False,Mr,False
412,1,female,33.0,1,0,90.0,False,Miss,False
413,2,male,28.0,0,0,0.0,False,Mr,False
414,3,male,44.0,0,0,7.925,False,Mr,False
415,3,female,28.0,0,0,8.05,False,Mrs,True
416,2,female,34.0,1,1,32.5,False,Mrs,True
417,2,female,18.0,0,2,13.0,False,Miss,False
418,2,male,30.0,0,0,13.0,False,Mr,False
419,3,female,10.0,0,2,24.15,True,Miss,False
420,3,male,28.0,0,0,7.8958,False,Mr,False
421,3,male,21.0,0,0,7.7333,False,Mr,False
422,3,male,29.0,0,0,7.875,False,Mr,False
423,3,female,28.0,1,1,14.4,False,Mrs,True
424,3,male,18.0,1,1,20.2125,False,Mr,False
425,3,male,28.0,0,0,7.25,False,Mr,False
426,2,female,28.0,1,0,26.0,False,Mrs,True
427,2,female,19.0,0,0,26.0,False,Miss,True
428,3,male,28.0,0,0,7.75,False,Mr,False
429,3,male,32.0,0,0,8.05,False,Mr,True
430,1,male,28.0,0,0,26.55,False,Mr,False
431,3,female,28.0,1,0,16.1,False,Mrs,True
432,2,female,42.0,1,0,26.0,False,Mrs,True
433,3,male,17.0,0,0,7.125,False,Mr,False
434,1,male,50.0,1,0,55.9,False,Mr,False
435,1,female,14.0,1,2,120.0,False,Miss,False
436,3,female,21.0,2,2,34.375,False,Miss,False
437,2,female,24.0,2,3,18.75,False,Mrs,True
438,1,male,64.0,1,4,263.0,False,Mr,False
439,2,male,31.0,0,0,10.5,False,Mr,False
440,2,female,45.0,1,1,26.25,False,Mrs,True
441,3,male,20.0,0,0,9.5,False,Mr,False
442,3,male,25.0,1,0,7.775,False,Mr,False
443,2,female,28.0,0,0,13.0,False,Ms,False
444,3,male,28.0,0,0,8.1125,False,Mr,False
445,1,male,4.0,0,2,81.8583,True,Master,False
446,2,female,13.0,0,1,19.5,False,Miss,False
447,1,male,34.0,0,0,26.55,False,Mr,False
448,3,female,5.0,2,1,19.2583,True,Miss,False
449,1,male,52.0,0,0,30.5,False,Major,False
450,2,male,36.0,1,2,27.75,False,Mr,False
451,3,male,28.0,1,0,19.9667,False,Mr,False
452,1,male,30.0,0,0,27.75,False,Mr,False
453,1,male,49.0,1,0,89.1042,False,Mr,False
454,3,male,28.0,0,0,8.05,False,Mr,False
455,3,male,29.0,0,0,7.8958,False,Mr,False
456,1,male,65.0,0,0,26.55,False,Mr,False
457,1,female,28.0,1,0,51.8625,False,Mrs,True
458,2,female,50.0,0,0,10.5,False,Miss,False
459,3,male,28.0,0,0,7.75,False,Mr,False
460,1,male,48.0,0,0,26.55,False,Mr,False
461,3,male,34.0,0,0,8.05,False,Mr,False
462,1,male,47.0,0,0,38.5,False,Mr,False
463,2,male,48.0,0,0,13.0,False,Mr,False
464,3,male,28.0,0,0,8.05,False,Mr,False
465,3,male,38.0,0,0,7.05,False,Mr,False
466,2,male,28.0,0,0,0.0,False,Mr,False
467,1,male,56.0,0,0,26.55,False,Mr,False
468,3,male,28.0,0,0,7.725,False,Mr,False
469,3,female,0.75,2,1,19.2583,True,Miss,False
470,3,male,28.0,0,0,7.25,False,Mr,False
471,3,male,38.0,0,0,8.6625,False,Mr,False
472,2,female,33.0,1,2,27.75,False,Mrs,True
473,2,female,23.0,0,0,13.7917,False,Mrs,True
474,3,female,22.0,0,0,9.8375,False,Miss,False
475,1,male,28.0,0,0,52.0,False,Mr,False
476,2,male,34.0,1,0,21.0,False,Mr,False
477,3,male,29.0,1,0,7.0458,False,Mr,False
478,3,male,22.0,0,0,7.5208,False,Mr,False
479,3,female,2.0,0,1,12.2875,True,Miss,False
480,3,male,9.0,5,2,46.9,True,Master,False
481,2,male,28.0,0,0,0.0,False,Mr,False
482,3,male,50.0,0,0,8.05,False,Mr,False
483,3,female,63.0,0,0,9.5875,False,Mrs,True
484,1,male,25.0,1,0,91.0792,False,Mr,False
485,3,female,28.0,3,1,25.4667,False,Miss,False
486,1,female,35.0,1,0,90.0,False,Mrs,True
487,1,male,58.0,0,0,29.7,False,Mr,False
488,3,male,30.0,0,0,8.05,False,Mr,False
489,3,male,9.0,1,1,15.9,True,Master,False
490,3,male,28.0,1,0,19.9667,False,Mr,False
491,3,male,21.0,0,0,7.25,False,Mr,False
492,1,male,55.0,0,0,30.5,False,Mr,False
493,1,male,71.0,0,0,49.5042,False,Mr,False
494,3,male,21.0,0,0,8.05,False,Mr,False
495,3,male,28.0,0,0,14.4583,False,Mr,False
496,1,female,54.0,1,0,78.2667,False,Miss,False
497,3,male,28.0,0,0,15.1,False,Mr,False
498,1,female,25.0,1,2,151.55,False,Mrs,True
499,3,male,24.0,0,0,7.7958,False,Mr,False
500,3,male,17.0,0,0,8.6625,False,Mr,False
501,3,female,21.0,0,0,7.75,False,Miss,False
502,3,female,28.0,0,0,7.6292,False,Miss,False
503,3,female,37.0,0,0,9.5875,False,Miss,False
504,1,female,16.0,0,0,86.5,False,Miss,False
505,1,male,18.0,1,0,108.9,False,Mr,False
506,2,female,33.0,0,2,26.0,False,Mrs,True
507,1,male,28.0,0,0,26.55,False,Mr,True
508,3,male,28.0,0,0,22.525,False,Mr,False
509,3,male,26.0,0,0,56.4958,False,Mr,False
510,3,male,29.0,0,0,7.75,False,Mr,False
511,3,male,28.0,0,0,8.05,False,Mr,False
512,1,male,36.0,0,0,26.2875,False,Mr,False
513,1,female,54.0,1,0,59.4,False,Mrs,True
514,3,male,24.0,0,0,7.4958,False,Mr,False
515,1,male,47.0,0,0,34.0208,False,Mr,False
516,2,female,34.0,0,0,10.5,False,Mrs,True
517,3,male,28.0,0,0,24.15,False,Mr,False
518,2,female,36.0,1,0,26.0,False,Mrs,True
519,3,male,32.0,0,0,7.8958,False,Mr,False
520,1,female,30.0,0,0,93.5,False,Miss,False
521,3,male,22.0,0,0,7.8958,False,Mr,False
522,3,male,28.0,0,0,7.225,False,Mr,False
523,1,female,44.0,0,1,57.9792,False,Mrs,True
524,3,male,28.0,0,0,7.2292,False,Mr,False
525,3,male,40.5,0,0,7.75,False,Mr,False
526,2,female,50.0,0,0,10.5,False,Miss,False
